,score,Game
954,5.0,sniper ghost warrior 3
956,7.0,the walking dead: a new frontier - episode four: thicker than water
957,4.0,syberia 3
958,8.0,little nightmares
960,6.0,prey
961,6.0,nba playgrounds
962,9.0,injustice 2
965,7.0,the surge
966,8.0,call of duty: black ops 3 zombies chronicles
971,6.0,rime
972,7.0,tokyo 42
973,4.0,friday the 13th: the game
976,9.0,dirt 4
977,8.0,tekken 7
979,4.0,the town of light
981,6.0,the walking dead: a new frontier - episode five: under the gallows
982,7.0,guardians of the galaxy - episode 2: under pressure
983,8.0,cities: skylines - mass transit
986,6.0,valkyria revolution
988,9.0,final fantasy 12: the zodiac age
989,7.0,diablo 3: rise of the necromancer
991,7.0,tacoma
992,8.0,batman - the enemy within: the enigma - episode 1
993,6.0,mega man legacy collection 2
994,4.0,agents of mayhem
995,6.0,the long dark
997,7.0,the pillars of the earth
998,9.0,madden nfl 18
1001,8.0,yakuza kiwami - back in action
1002,6.0,guardians of the galaxy - episode 3: more than a feeling
1003,9.0,f1 2017
1004,8.0,life is strange: before the storm - episode 1 - awake
1006,9.0,xcom 2: war of the chosen
1008,6.0,ark: survival evolved
1011,8.0,pes 2018
1012,9.0,owlboy: a heartfelt tale
1013,9.0,stardew valley
1014,8.0,destiny 2
1019,8.0,marvel vs. capcom: infinite
1021,8.0,dishonored: death of the outsider
1023,7.0,nhl 18
1024,7.0,fifa 18
1026,7.0,project cars 2
1027,7.0,nba live 18
1029,8.0,nba 2k18
1034,7.0,wrc 7
1035,8.0,cuphead - rise to the challenge
1036,8.0,batman: the enemy within - episode 2: the pact
1037,6.0,battle chasers: nightwar
1038,8.0,forza motorsport 7
1041,5.0,fifa 18 nintendo switch
1043,7.0,middle-earth: shadow of war
1047,8.0,the evil within 2
1049,8.0,south park: the fractured but whole
1052,5.0,wwe 2k18
1055,4.0,elex
1057,7.0,assassin's creed origins
1064,9.0,wolfenstein 2: the new colossus
1067,7.0,life is strange: before the storm - episode 2 - brave new world
1069,9.0,call of duty: wwii
1072,6.0,super lucky's tale
1074,5.0,need for speed payback
1077,7.0,doom switch
1079,5.0,sonic forces
1081,6.0,star wars battlefront ii
1083,9.0,rocket league switch
1085,7.0,lego marvel super heroes 2
1087,8.0,the elder scrolls v: skyrim switch
1088,7.0,la noire switch
1089,8.0,batman: the enemy within - episode 3: fractured mask
1090,5.0,destiny 2: curse of osiris
1095,7.0,steep: road to the olympics
1099,3.0,hello neighbor
1100,8.0,playerunknown's battlegrounds
1102,9.0,batman: the enemy within - episode 4: what ails you
1104,8.0,"ufc 3: a tense, exciting, and dynamic recreation of mma"
1106,9.0,subnautica: a water wonderland
1107,8.0,civilization 6: rise and fall: a new era
1108,7.0,dynasty warriors 9: a new world
1109,8.0,pac-man: championship edition 2
1110,9.0,nier: automata
1111,6.0,crash bandicoot n sane trilogy: marsupial makeover
1112,9.0,sonic mania plus - encore! encore!
1115,8.0,monster hunter world - deadliest catch
1118,8.0,kingdom come: deliverance: the past comes at you fast
1122,5.0,metal gear survive: too harsh to enjoy
1123,5.0,payday 2 switch: mo' money mo' problems
1125,4.0,bridge constructor portal
1126,5.0,gravel: slow and steady doesn't win the race
1127,8.0,surviving mars: building the final frontier
1128,8.0,attack on titan 2: colossal action
1129,6.0,a way out: you can't have one without the other
1130,9.0,far cry 5: rocky mountain high
1135,9.0,batman: the enemy within episode 5 - no more joking around
1136,6.0,sea of thieves: set sail with trepidation
1137,8.0,fortnite: battle royale - laying the foundation
1140,4.0,extinction - a giant mess
1143,8.0,life is strange: before the storm - keep the good times rolling
1145,7.0,the invisible hours: from every angle
1146,9.0,"frostpunk: damned if you do, damned if you don't"
1147,7.0,city of brass - hidden treasure
1148,8.0,pillars of eternity 2: deadfire - a pirate's life for me
1151,6.0,destiny 2: warmind - back to work
1156,8.0,battle chasers nightwar: switch it up
1158,5.0,state of decay 2: the limping dead
1161,3.0,conan exiles: dull and dense
1163,3.0,agony: a captivating disappointment
1164,8.0,street fighter 30th anniversary collection - keep the past alive
1165,9.0,yoku’s island express: a breath of fresh air
1166,7.0,vampyr: the city that never sleeps
1167,9.0,onrush: push it to the limit
1168,8.0,unravel 2: partners in twine
1169,7.0,jurassic world evolution: life finds a way
1171,8.0,the awesome adventures of captain spirit - mind over matter
1172,9.0,wreckfest: crashing the party
1174,8.0,the crew 2 - on the road again
1177,8.0,lumines remastered: groove is in the heart
1178,8.0,wolfenstein 2: the new colossus nintendo switch
1180,8.0,mothergunship: bullet-hell extravaganza
1182,4.0,earthfall: an inferior invasion
1184,8.0,mega man x legacy collection 1 + 2: mega museum
1185,8.0,no man's sky next: you are not alone
1186,9.0,dead cells: rise from your grave
1187,8.0,overcooked 2 - a great second course
1188,8.0,child of light
1189,8.0,cities: skylines - in the zone
1192,8.0,armello - nintendo switch update
1193,10.0,divinity: original sin 2 - switch definitive edition update
1194,9.0,dragon ball fighterz: the fast and the furious
1196,8.0,madden nfl 19
1198,4.0,we happy few
1200,8.0,the walking dead - the final season episode 1: done running
1202,9.0,f1 2018 - victory lap
1204,8.0,yakuza kiwami 2 - like a tiger
1205,6.0,death's gambit - a maddening mission
1206,9.0,pes 2019
1209,8.0,the golf club 2019
1210,9.0,hollow knight - an exceptional adventure
1211,7.0,strange brigade - co-op with style
1212,8.0,destiny 2: forsaken - a grindhouse
1218,7.0,nba live 19 - dribbling forward
1219,8.0,two point hospital - laughter is the best medicine
1220,6.0,shadow of the tomb raider - guerilla girl
1223,8.0,valkyria chronicles 4 - soar high
1225,7.0,"nba 2k19 - another year, another baller"
1227,8.0,nhl 19 - a barnburner
1228,8.0,wasteland 2: director's cut nintendo switch
1229,9.0,"forza horizon 4 - shifting gears, shifting seasons"
1233,9.0,life is strange 2: episode 1 - what doesn't kill us
1236,8.0,telltale's the walking dead: the final season episode 2
1238,7.0,transference - in another world
1239,7.0,fifa 19 - golazo
1241,8.0,assassin's creed odyssey - glory of sparta
1248,4.0,the bard's tale iv: barrows deep - lament
1249,7.0,mega man 11 - an uneven retro romp
1250,5.0,fifa 19 nintendo switch - offside
1252,6.0,pathfinder: kingmaker - the classics
1253,5.0,my memory of us - war has changed
1254,8.0,the missing - lost and found
1255,8.0,"call of duty: black ops 4 - zombies, blackout, multiplayer"
1257,7.0,starlink: battle for atlas - endless space
1259,8.0,soulcalibur 6 - the new legend
1263,9.0,thronebreaker: the witcher tales - queen of hearts
1264,8.0,dark souls remastered switch: a very special revisit
1265,5.0,lego dc super-villains: mediocre mischief-makers
1267,5.0,nba 2k playgrounds 2 - ball another day
1269,9.0,red dead redemption 2 - wild wild west
1272,7.0,wwe 2k19: a step in the right direction
1275,6.0,my hero one's justice - in their own quirky ways
1277,9.0,diablo 3: eternal collection switch - better with age
1279,5.0,call of cthulhu - squid logic
1281,7.0,cities: skylines - industries - the up and up
1284,8.0,hitman 2 - a boy and his briefcase
1288,6.0,sinner: sacrifice for redemption - trials and tribulations
1289,8.0,full metal furies - puzzle-brawler
1290,7.0,11-11: memories retold - modernist warfare
1291,8.0,spyro reignited trilogy - fan the flames
1292,3.0,overkill's the walking dead - doa
1293,8.0,battlefield 5 - breaking through the front lines
1295,4.0,fallout 76 - no humans allowed
1298,4.0,darksiders 3 - soils-like
1301,8.0,hellblade: senua's sacrifice - the power of empathy
1303,6.0,just cause 4 - mildly wild ride
1305,9.0,ashen - relationship souls
1306,8.0,monster boy and the cursed kingdom - fit for a king
1307,5.0,desert child - burning fuel
1308,6.0,below - deep down
1309,8.0,ace combat 7: skies unknown - head in the clouds
1312,8.0,the walking dead: the final season episode 3
1314,9.0,resident evil 2 - re-vived nightmares
1317,8.0,life is strange 2: episode 2 - with great power
1320,8.0,"kingdom hearts 3 - clear eyes, full hearts"
1324,4.0,genesis alpha one - drifting without direction
1326,6.0,astroneer - new frontiers
1327,9.0,apex legends -- a new battle royale titan
1330,9.0,civilization 6: gathering storm - weather the storm
1331,6.0,far cry: new dawn - duct tape apocalypse
1332,8.0,metro exodus - brand new days
1336,5.0,crackdown 3 - man of steel
1337,7.0,jump force - shonen through and through
1341,6.0,anthem - two halves
1345,7.0,trials rising - it's a gas
1346,7.0,dead or alive 6 - combat ready
1347,9.0,devil may cry 5 - from zero to nero
1351,8.0,the occupation - on the clock
1353,9.0,the division 2 - national treasure
1357,9.0,sekiro: shadows die twice - steel yourself
1359,9.0,the walking dead: the final season episode 4
1361,8.0,tropico 6 - world stage
1362,5.0,dangerous driving - stuck in neutral
1363,6.0,my time at portia - crop circles
1365,9.0,mortal kombat 11 - the right fight
1369,4.0,giga wrecker alt - hunk of junk
1370,6.0,world war z - zombie zeitgeist
1371,8.0,life is strange 2: episode 3 - choosing sides
1374,6.0,rage 2 - wasted land
1377,8.0,a plague tale: innocence - of rats and children
1378,7.0,team sonic racing - gotta go-kart fast
1379,9.0,mutant year zero: road to eden - nintendo switch and seeds of evil update
1380,5.0,layers of fear 2 - ghost ship
1381,7.0,draugen - mystery loves company
1382,5.0,pathologic 2 - the big sick
1383,8.0,crash team racing nitro-fueled - back with a bang
1384,3.0,the sinking city - draining
1385,8.0,samurai shodown - life or death
1386,8.0,bloodstained: ritual of the night - not dead yet
1387,9.0,f1 2019 - pole position
1388,6.0,bloodstained: ritual of the night nintendo switch - less lively
1389,8.0,wolfenstein: youngblood - family matters
1391,7.0,wolfenstein: youngblood nintendo switch
1393,8.0,madden nfl 20 - big play
1394,7.0,age of wonders: planetfall
1395,4.0,ancestors: the humankind odyssey - devolution of the species
1396,7.0,remnant: from the ashes - in my sights
1397,8.0,control - an action-packed paranormal portal
1398,7.0,life is strange 2: episode 4 - gotta have faith
1401,6.0,the dark pictures: man of medan - drown and out
1402,7.0,gears 5 - a beneficial mutation
1403,9.0,monster hunter world: iceborne - a very ice time
1406,5.0,blair witch (game) - prying eyes
1407,9.0,no man's sky beyond - reach for the stars
1408,8.0,"borderlands 3 - six sirens, one god-queen"
1412,9.0,nhl 20 - smashed
1415,9.0,efootball pes 2020 - a winning formula
1416,5.0,greedfall - lost in another world
1417,8.0,children of morta
1418,8.0,fifa 20 - premier league
1420,8.0,the surge 2 - out on a limb
1422,6.0,code vein - there will be blood
1423,8.0,destiny 2 shadowkeep - moon's haunted
1428,7.0,indivisible - moving mountains
1429,4.0,ghost recon breakpoint - faulty reconaissance
1433,6.0,yooka-laylee and the impossible lair - uninvited nostalgia
1434,8.0,john wick hex - tick tock wick
1435,8.0,killer queen black - 'cause i'm having a good time
1436,9.0,the witcher 3 nintendo switch - the last wish
1439,9.0,the outer worlds - over the moon
1441,7.0,call of duty: modern warfare - stay frosty (again)
1443,5.0,"super monkey ball banana blitz hd - all monkey, no magic"
1444,2.0,wwe 2k20: botchamania
1447,8.0,star wars jedi: fallen order - a good feeling about this
1449,7.0,need for speed heat - getting warmer
1451,6.0,sparklite - shine a light
1452,5.0,blacksad: under the skin - dog days
1454,8.0,life is strange 2: episode 5 - beyond good or evil
1457,8.0,shovel knight: king of cards - royal refinement
1458,7.0,darksiders: genesis - lucy and the horsemen
1461,8.0,phoenix point - the life aquatic
1462,7.0,dragon ball z: kakarot - mondo cool
1465,8.0,frostpunk: the last autumn - calm before the storm
1466,7.0,journey to the savage planet - a pulpy sci-fi romp
1467,4.0,kingdom hearts 3 re:mind - don't remind me
1470,8.0,ori and the will of the wisps
1473,8.0,doom eternal - intelligent inferno
1477,7.0,call of duty warzone
1478,6.0,"resident evil 3 remake - farewell, raccoon city"
1480,6.0,bleeding edge - teamfight free-for-all
