,Game,Year,Genre,Publisher,North America,Europe,Japan,Rest of World,Global
266,divinity: original sin,2015,Role-Playing,Focus Home Interactive,0.06,0.03,0.0,0.01,0.1
267,dead or alive 5,2015,Fighting,Tecmo Koei,0.05,0.03,0.01,0.01,0.1
268,pro evolution soccer 2017,2016,Sports,Konami Digital Entertainment,0.05,0.03,0.0,0.01,0.1
269,resident evil zero,2016,Action-Adventure,Capcom,0.07,0.02,0.0,0.01,0.1
270,sword art online: fatal bullet,2018,Role-Playing,Namco Bandai Games,0.09,0.0,0.0,0.01,0.1
271,yooka-laylee,2017,Platform,Sold Out,0.05,0.04,0.0,0.01,0.1
272,real farm,2017,Simulation,Soedesco,0.08,0.0,0.0,0.01,0.1
273,we happy few,2018,Action-Adventure,Gearbox Software,0.07,0.01,0.0,0.01,0.09
274,duke nukem 3d: 20th anniversary world tour,2016,Shooter,Gearbox Software,0.08,0.0,0.0,0.01,0.09
275,the wolf among us,2014,Adventure,Telltale Games,0.06,0.02,0.0,0.01,0.09
276,attack on titan 2,2018,Action,Koei Tecmo,0.08,0.0,0.0,0.01,0.09
277,rugby 15,2015,Sports,Bigben Interactive,0.03,0.05,0.0,0.01,0.09
278,mxgp 3: the official motocross videogame,2017,Racing,Milestone,0.06,0.02,0.0,0.01,0.09
279,bladestorm: nightmare,2015,Action,Tecmo Koei,0.06,0.02,0.0,0.01,0.08
280,monster energy supercross - the official videogame,2018,Racing,Milestone S.r.l.,0.08,0.0,0.0,0.01,0.08
281,america's greatest game shows: wheel of fortune & jeopardy!,2017,Misc,Ubisoft,0.08,0.0,0.0,0.01,0.08
282,dead island definitive collection,2016,Action,Deep Silver,0.05,0.03,0.0,0.01,0.08
283,ride 2,2016,Racing,Milestone S.r.l,0.06,0.01,0.0,0.01,0.08
284,elite: dangerous,2017,Simulation,Frontier Developments,0.07,0.0,0.0,0.01,0.08
285,just dance: disney party 2,2015,Music,Ubisoft,0.06,0.01,0.0,0.01,0.08
286,bulletstorm: full clip edition,2017,Shooter,Gearbox Software,0.06,0.01,0.0,0.01,0.08
287,micro machines: world series,2017,Racing,Codemasters,0.02,0.05,0.0,0.01,0.08
288,darksiders ii,2015,Action-Adventure,Nordic Games,0.05,0.03,0.0,0.01,0.08
289,sherlock holmes: crimes & punishments,2014,Adventure,Focus Home Interactive,0.03,0.04,0.0,0.01,0.08
290,toy soldiers: war chest,2015,Action,Ubisoft,0.07,0.0,0.0,0.01,0.08
291,blazblue: chrono phantasma extend,2015,Fighting,PQube,0.06,0.01,0.0,0.01,0.08
292,metal gear survive,2018,Action,Konami Digital Entertainment,0.05,0.01,0.0,0.01,0.08
293,the golf club,2015,Sports,Ravenscourt,0.07,0.0,0.0,0.01,0.07
294,batman: a telltale game series,2016,Adventure,Telltale Games,0.06,0.01,0.0,0.01,0.07
295,constructor hd,2017,Strategy,System 3,0.07,0.0,0.0,0.01,0.07
