,Game,metacritic_score,metacritic_review_count,user_score,user_review_count,content_rating,genres,release_year,Publisher,global_unit_sales
136,Get Even,73,14,7.7,35.0,M,"['Modern', ' Action', ' Shooter', ' First-Person', ' Arcade']",2017,Unknown,0.0
137,Yooka-Laylee,73,39,5.5,122.0,E10+,"['Action', ' Platformer', ' 3D']",2017,Sold Out,0.1
138,Agents Of Mayhem,73,18,6.5,52.0,M,"['Action Adventure', ' Open-World']",2017,Deep Silver,0.11
139,Lara Croft And The Temple Of Osiris,72,31,5.9,53.0,T,"['Action', ' Action Adventure', ' Platformer', ' Linear', ' 2D']",2014,Square Enix,0.0
140,Dungeons 3,72,4,7.4,5.0,T,"['Strategy', ' General']",2017,Kalypso Media,0.02
141,Spintires: Mudrunner,72,10,7.3,16.0,E,"['Simulation', ' Vehicle', ' Civilian']",2017,Focus Home Interactive,0.15
142,Nba Live 18,72,16,5.3,47.0,E,"['Sports', ' Team', ' Basketball', ' Sim']",2017,EA Sports,0.21
143,Wwe 2K16,72,18,5.3,88.0,T,"['Action', ' Sports', ' General', ' Individual', ' Combat', ' Wrestling']",2015,Take-Two Interactive,0.63
144,Max: The Curse Of Brotherhood,72,51,7.4,294.0,E10+,"['Fantasy', ' Action Adventure', ' General', ' Fantasy']",2013,,0.0
145,Mega Man Legacy Collection 2,72,4,9.7,35.0,E10+,"['Miscellaneous', ' Compilation']",2017,Capcom,0.02
146,Steep,72,18,6.5,64.0,T,"['Sports', ' Individual', ' Ski / Snowboard']",2016,Ubisoft,0.48
147,De Blob,72,5,,,E,"['Action', ' Platformer', ' 3D']",2017,THQ Nordic,0.0
148,Sherlock Holmes: Crimes & Punishments,71,8,6.7,78.0,M,"['Adventure', ' General']",2014,Focus Home Interactive,0.08
149,Lego Marvel'S Avengers,71,18,5.8,24.0,E10+,"['Action Adventure', ' General']",2016,Warner Bros. Interactive Entertainment,0.48
150,Just Cause 3,71,24,6.8,244.0,M,"['Sci-Fi', ' Action Adventure', ' Open-World']",2015,Square Enix,1.01
151,Pharaonic,71,4,7.6,7.0,T,"['Role-Playing', ' Action RPG']",2016,Soedesco,0.02
152,Just Dance 2014,71,6,7.0,58.0,E10+,"['Dancing', ' Action', ' Miscellaneous', ' Rhythm', ' Dancing']",2013,Ubisoft,0.48
153,Lords Of The Fallen,71,13,6.6,176.0,M,"['Role-Playing', ' Action RPG', ' Action RPG']",2014,Square Enix,0.22
154,This Is The Police,71,9,,,M,"['Simulation', ' Virtual', ' Virtual Life', ' Career']",2017,THQ Nordic,0.01
155,Xbox Fitness,71,4,5.9,82.0,E,"['Miscellaneous', ' Exercise / Fitness']",2013,,0.0
156,Oceanhorn: Monster Of Uncharted Seas,71,11,7.5,26.0,E10+,"['Action Adventure', ' Open-World']",2016,,0.0
157,Knight Squad,71,9,6.8,24.0,T,"['Action', ' General']",2015,,0.0
158,Screamride,71,63,4.8,226.0,E10+,"['Simulation', ' General']",2015,Microsoft Studios,0.01
159,Blood Bowl 2,70,9,7.5,11.0,T,"['Sports', ' General', ' Team', ' Football', ' Arcade']",2015,Focus Home Interactive,0.0
160,Wrc 7,70,11,7.1,10.0,E,"['Racing', ' Simulation', ' Automobile']",2017,Bigben Interactive,0.05
161,Just Dance 2015,70,17,7.4,21.0,E10+,"['Action', ' Miscellaneous', ' Rhythm', ' Dancing']",2014,Ubisoft,0.54
162,Stranger Of Sword City,70,12,7.3,21.0,T,"['Role-Playing', ' General']",2016,Experience Inc.,0.0
163,Ea Sports Ufc,70,23,6.2,162.0,T,"['General', ' Sports', ' General', ' Individual', ' Combat', ' Boxing / Martial Arts']",2014,Electronic Arts,0.48
164,Tembo The Badass Elephant,70,13,7.0,28.0,E10+,"['Action Adventure', ' General']",2015,,0.0
165,Duke Nukem 3D: 20Th Anniversary World Tour,70,4,6.7,6.0,M,"['Action', ' Shooter', ' First-Person', ' Arcade']",2016,Gearbox Software,0.09
166,Fe,70,29,7.1,28.0,E,"['Action', ' General']",2018,,0.0
167,Ark: Survival Evolved,69,6,5.0,42.0,T,"['Action Adventure', ' Survival', ' Sandbox']",2017,Studio Wildcard,0.46
168,Fruit Ninja Kinect 2,69,11,7.1,11.0,E,"['General', ' Action', ' Arcade']",2015,,0.0
169,Lego The Hobbit,69,20,6.9,39.0,E10+,"['Historic', ' Action Adventure', ' General', ' Fantasy']",2014,Warner Bros. Interactive Entertainment,0.27
170,Sea Of Thieves,69,71,5.0,1890.0,T,"['Role-Playing', ' Massively Multiplayer']",2018,Microsoft Studios,0.96
171,The Crew 2,69,37,5.0,73.0,T,"['Racing', ' Simulation', ' Automobile']",2018,Ubisoft,0.33
172,Lego Worlds,69,20,6.6,34.0,E10+,"['Action Adventure', ' Sandbox']",2017,Warner Bros. Interactive Entertainment,0.69
173,Darksiders Iii,69,19,7.1,124.0,M,"['Action Adventure', ' Open-World']",2018,THQ Nordic,0.12
174,Monster Energy Supercross - The Official Videogame,69,8,7.6,13.0,E,"['Racing', ' Arcade', ' Automobile']",2018,Milestone S.r.l.,0.08
175,Wwe 2K17,68,12,4.8,44.0,T,"['Sports', ' Individual', ' Combat', ' Wrestling']",2016,2K Games,0.57
176,The Technomancer,68,12,7.1,68.0,M,"['Role-Playing', ' General', ' Western-Style']",2016,Focus Home Interactive,0.05
177,Kung Fu Panda: Showdown Of Legendary Legends,68,4,4.9,14.0,E10+,"['Action', ' Action Adventure', ' General', ' Fighting', ' 2D']",2015,Little Orbit,0.0
178,Baja: Edge Of Control Hd,67,6,,,E,"['Racing', ' Simulation', ' Automobile']",2017,THQ Nordic,0.05
179,Assassin'S Creed Chronicles: China,67,31,5.8,110.0,T,"['Historic', ' Action Adventure', ' General', ' Linear']",2015,Ubisoft,0.0
