,title,metacritic_score,metacritic_review_count,user_score,user_review_count,content_rating,developer,genres,release_date
822,Sunset Overdrive and the Mystery of the Mooil Rig!,65,9,7.2,33.0,M,Insomniac Games,"['Action, General, Shooter, Third-Person, Arcade']","Dec 23, 2014"
823,Degrees of Separation,65,9,,,E,Moondrop Studios,"['Action, Platformer, 2D']","Feb 14, 2019"
824,Anthem,65,24,3.9,669.0,T,BioWare,"['Role-Playing, Action RPG']","Feb 22, 2019"
825,Dangerous Driving,65,16,4.7,19.0,E10+,Three Fields Entertainment,"['Racing, Arcade, Automobile']","Apr 9, 2019"
826,Riptide GP2,65,5,7.3,16.0,E,Vector Unit Inc.,"['Driving, Snow / Water, Racing, Arcade, Other']","Jan 23, 2015"
827,Battle Worlds: Kronos,65,4,5.3,4.0,E10+,KING Art,"['Strategy, Turn-Based, General']","Apr 26, 2016"
828,Nevermind,65,7,6.5,6.0,M,Flying Mollusk,"['Action Adventure, Adventure, 3D, Linear, First-Person']","Jan 11, 2017"
829,Kitty Powers' Matchmaker,65,6,,,T,STELLAR ENTERTAINMENT SOFTWARE LTD,"['Action, General']","Mar 10, 2017"
830,One Piece: World Seeker,65,12,5.2,34.0,T,Ganbarion,"['Action Adventure, Open-World']","Mar 15, 2019"
831,The Story Goes On,65,4,,,E10+,Scarecrow Arts,"['Action Adventure, Linear']","Mar 2, 2018"
832,I Hate Running Backwards,65,7,,,T,Binx Interactive,"[""Action, Shooter, Shoot-'Em-Up, Vertical""]","May 22, 2018"
833,Necropolis,65,6,,,T,Harebrained Schemes LLC,"['Action Adventure, General']","Oct 4, 2016"
834,Songbringer,65,6,,,T,Wizard Fu Games,"['Action Adventure, General']","Sep 1, 2017"
835,Powerstar Golf,65,27,5.6,133.0,E,Zoe Mode,"['Arcade, Sports, Traditional, Individual, Golf, Arcade']","Nov 22, 2013"
836,Battleship,65,11,6.6,9.0,E10+,Frima Studio,"['Miscellaneous, Board / Card Game']","Aug 2, 2016"
837,Ginger: Beyond the Crystal,65,6,6.8,6.0,E,Badland Games,"['Action, Platformer, 3D']","Oct 25, 2016"
838,The Crew: Wild Run,65,5,6.3,22.0,T,Ivory Tower,"['Racing, Simulation, Automobile']","Nov 17, 2015"
839,Bad North,65,6,6.8,12.0,T,Raw Fury,"['Action, Strategy, Real-Time, General']","Aug 28, 2018"
840,The Escapists: The Walking Dead,65,19,7.3,6.0,T,Team17,"['Action, General']","Sep 30, 2015"
841,Sparkle 2,65,10,,,E,"10tons Entertainment, 10tons","['Puzzle, Matching']","Jan 27, 2016"
842,The Walking Dead: Michonne - Episode 1: In Too Deep,65,9,7.2,31.0,M,"Skybound LLC, Skybound Games","['Adventure, 3D, Third-Person']","Feb 23, 2016"
843,Outward,65,12,7.1,38.0,M,Nine Dots Studio,"['Role-Playing, Action Adventure, General, Survival']","Mar 26, 2019"
844,Wondershot,65,4,,,E10+,Leikir Studio,"['Action, Arcade']","Feb 19, 2016"
845,HoPiKo,65,4,,,E,Merge Games,"['Action, General']","Oct 19, 2016"
846,Tour de France 2017,65,4,,,E,"Cyanide, Cyanide Studios","['Sports, Individual, Biking']","Jun 15, 2017"
847,Lovecraft's Untold Stories,65,4,,,T,BadLand Publishing,"['Role-Playing, Action Adventure, General, Roguelike']","May 10, 2019"
848,F1 2015,64,13,6.2,26.0,E,Codemasters,"['Racing, Simulation, Automobile']","Jul 21, 2015"
849,Extreme Exorcism,64,10,,,E10+,Golden Ruby Games,"['Action, Platformer, 2D']","Sep 23, 2015"
850,InnerSpace,64,7,3.6,5.0,E,PolyKnight Games,"['Simulation, Flight, Civilian']","Jan 16, 2018"
851,The Golf Club,64,15,5.3,63.0,E,HB Studios Multimedia,"['Traditional, Sports, Individual, Golf, Sim']","Aug 19, 2014"
852,Override: Mech City Brawl,64,9,6.5,4.0,T,Modus,"['Action, General']","Dec 4, 2018"
853,Assassin's Creed Unity: Dead Kings,64,13,5.5,60.0,M,"Ubisoft, Ubisoft Montreal","['Action Adventure, Historic, Open-World']","Jan 13, 2015"
854,D/Generation HD,64,4,,,E10+,West Coast Software,"['Puzzle, General']","Feb 12, 2016"
855,The Walking Dead: The Telltale Series - A New Frontier Episode 5: From The Gallows,64,7,6.1,18.0,M,Telltale Games,"['Adventure, Point-and-Click']","May 30, 2017"
856,Assassin's Creed Chronicles: India,64,20,5.1,44.0,T,"Ubisoft, Climax Studios","['Action Adventure, Linear']","Jan 12, 2016"
857,Danger Zone,64,9,6.0,5.0,E10+,Three Fields Entertainment,"['Racing, General, Arcade, Automobile']","Oct 10, 2017"
858,Pathologic 2,64,5,7.2,18.0,M,Ice-Pick Lodge,"['Action Adventure, Survival']","Dec 12, 2019"
859,Jagged Alliance: Rage!,64,5,3.0,7.0,M,HandyGames,"['Strategy, Turn-Based, Tactics']","Dec 6, 2018"
860,Planet of the Eyes,64,9,,,E10+,"Coco Cucumber, Cococucumber","['Action, Platformer, 2D']","Sep 12, 2017"
861,Kaiju Panic,64,4,,,E10+,Mechabit Ltd,"['Strategy, Real-Time, Command']","Oct 9, 2015"
862,Batman: The Enemy Within - Episode 2: The Pact,64,6,3.0,7.0,M,Telltale Games,"['Adventure, Point-and-Click']","Sep 26, 2017"
863,We Happy Few,64,17,5.5,72.0,M,Compulsion Games,"['Action Adventure, General']","Aug 10, 2018"
864,N.E.R.O.: Nothing Ever Remains Obscure,64,19,7.6,61.0,E,Storm in a Teacup,"['Miscellaneous, Adventure, Puzzle, General, 3D, First-Person']","May 15, 2015"
865,The Crew,64,18,5.8,190.0,T,"Ubisoft Reflections, Ivory Tower","['GT / Street, Driving, Racing, Simulation, GT / Street, Automobile']","Dec 2, 2014"
866,MX vs. ATV All Out: Anniversary Edition,64,9,,,E10+,THQ Nordic,"['Racing, Simulation, Automobile']","Feb 26, 2019"
867,King Oddball,64,10,,,E10+,"10tons Ltd, 10tons","['Puzzle, Action']","Sep 9, 2016"
868,Megaton Rainfall,64,4,,,E10+,Pentadimensional Games,"['Action, General']","Aug 8, 2018"
869,My Hero One's Justice 2,64,8,4.6,7.0,T,Bandai Namco Games,"['Action, Fighting, 3D']","Mar 13, 2020"
870,Super Bomberman R,63,9,6.6,9.0,E10+,Konami,"['Puzzle, Action, Arcade']","Jun 12, 2018"
871,Resident Evil 6,63,12,6.9,96.0,M,Capcom,"['Action Adventure, Survival']","Mar 29, 2016"
872,Lost Grimoires: Stolen Kingdom,63,7,,,E10+,Artifex Mundi,"['Puzzle, Hidden Object']","Apr 28, 2017"
873,Wenjia,63,5,,,E,"E-Home Entertainment, E-Home Entertainment Development Co., Ltd","['Adventure, General']","Sep 21, 2018"
874,Dogos,63,7,,,E10+,INTERNET URL S.A.,"[""Action, Shooter, Shoot-'Em-Up, Top-Down""]","Sep 7, 2016"
875,8DAYS,63,6,,,M,"Santa Clara Games, Badland Games","[""Action, Shooter, Shoot-'Em-Up, Top-Down""]","Feb 7, 2017"
876,Layers of Fear 2,63,19,6.5,42.0,M,Bloober Team,"['Action Adventure, Survival']","May 28, 2019"
877,RiftStar Raiders,63,4,,,E10+,Climax Studios,"[""Action, Shooter, Shoot-'Em-Up, Top-Down""]","Feb 28, 2018"
878,Narcos: Rise of the Cartels,63,8,2.6,10.0,M,Kuju Entertainment,"['Action, Strategy, Turn-Based, General, Tactics']","Nov 22, 2019"
